Protein,Layer
Q96HQ0,6
Q96JN0,10
Q96JP5,2
Q96LA5,10
Q96S90,11
Q96S94,11
Q9BQ87,9
Q9BQP7,11
Q9BRQ0,10
Q9BSE5,10
Q9BSU3,9
Q9BVW5,14
Q9BWF3,6
Q9H2M9,10
Q9H582,10
Q9H8J5,9
Q9HC98,6
Q9NPA3,10
Q9NPQ8,10
Q9NRD0,16
Q9NSE2,10
Q9NZT2,10
Q9P104,10
Q9P206,13
Q9UHA3,10
Q9UJW2,6
Q9Y276,10
Q9Y282,10
Q9Y6A1,10
Q9Y6H8,10
A0A087WT01,10
A0A0U1RQG5,18
A0A1B0GTH6,14
A6H8M9,10
O00165,19
O14508,10
O14905,10
O15014,11
O15533,10
O43182,16
O43307,11
O43734,10
O43825,10
O43866,10
O75643,5
O95156,10
O95445,10
O95674,10
P04259,11
P05023,6
P06133,10
P09093,10
P0C7W6,11
P0CI00,16
P0DV77,10
P0DW13,10
P11274,10
P11801,6
P13726,10
P28039,10
P29034,10
P35222,10
P50120,13
P54845,11
P58005,10
P62318,10
Q08999,11
Q13257,10
Q13630,11
Q14966,8
Q15238,10
Q15435,8
Q15437,10
Q15468,11
Q15878,6
Q3ZCU0,10
Q5VTJ3,5
Q5VTY9,10
Q6PB30,13
Q6PEW0,10
Q6UX01,11
Q6YHU6,10
Q70JA7,10
Q7L8J4,10
Q7Z769,11
Q86T20,10
Q86VZ2,8
Q86W34,10
Q86WR6,31
Q8IVW4,6
Q8N140,10
Q8N3R3,14
Q8N729,21
Q8N8E3,11
Q8NGK5,10
Q8NGP9,10
Q8NGS4,10
Q8NH64,10
Q8TBX8,10
Q8TDG4,10
Q8WU76,10
Q8WVJ2,10
Q92569,10
Q92870,10
Q92918,6
Q96BN8,22
Q96FH0,28
Q96SL1,10
Q96T58,9
Q99807,10
Q9BYG0,10
Q9C040,16
Q9H300,11
Q9H9S0,8
Q9HCH3,10
Q9HCI6,8
Q9NRY6,10
Q9NRZ7,8
Q9NSK0,6
Q9NXK6,10
Q9NY87,8
Q9NZJ6,6
Q9P2N7,10
Q9UBN6,10
Q9UI42,10
Q9UP95,10
Q9Y274,10
Q9Y2S7,10
Q9Y2Z4,11
Q9Y5N5,6
A0A075B6S6,10
A6NI61,10
A6NKC9,10
B3EWG5,19
B9A014,14
O00451,10
O00567,10
O14862,9
O15075,6
O15519,10
O43169,10
O43304,6
O43548,10
O43638,10
O75094,10
O75333,10
O75534,10
O94851,10
P08579,10
P0C7T8,11
P0CH99,16
P0DH78,10
P0DN37,10
P14618,8
P14923,10
P16860,10
P20701,10
P26639,10
P30049,10
P49716,11
P49961,15
P54253,11
P57764,10
P61513,12
P80075,10
P98077,10
Q05329,10
Q09MP3,21
Q0VG06,13
Q12884,8
Q13129,5
Q13495,11
Q14549,8
Q14953,10
Q14CX7,11
Q15042,11
Q16790,10
Q2YD98,10
Q5JXB2,10
Q5JXM2,10
Q5T686,16
Q75LS8,9
Q7RTT3,11
Q7Z5K2,11
Q7Z7L8,10
Q86VK4,6
Q86WS3,10
Q86XZ4,16
Q8IWV7,9
Q8IZI9,10
Q8N485,10
Q8N4L1,11
Q8N531,8
Q8N539,10
Q8N9Z9,10
Q8NE28,6
Q8NGJ4,10
Q8TAG6,24
Q8TB40,10
Q8TBJ4,10
Q8TC92,10
Q96AQ7,11
Q96CP7,10
Q96D15,10
Q96EP9,10
Q96J66,10
Q96LC7,6
Q96LJ7,6
Q96N67,10
Q99424,11
Q99440,20
Q9BQ39,8
Q9BTC0,10
Q9BV87,11
Q9BZJ0,12
Q9BZL4,16
Q9H0E9,11
Q9H2C5,10
Q9H6E5,16
Q9NQS3,10
Q9NRE2,8
Q9NRR2,10
Q9NY74,11
Q9UHK0,10
Q9UK61,10
Q9UKU6,10
Q9UKV8,10
Q9Y2G3,10
Q9Y2U2,9
Q9Y512,10
A0A0A0MRZ8,10
A6NIE6,10
A8MVS5,10
O00548,16
O43598,8
O43681,10
O43827,10
O75387,10
O75564,10
O95049,10
O95069,9
P01298,21
P01574,10
P02748,5
P04275,10
P05386,10
P08173,10
P10082,21
P11926,10
P18858,10
P19012,10
P20963,11
P22692,10
P27824,10
P35789,18
P40424,8
P49720,14
P51801,11
P54764,6
P55039,5
P62760,10
Q01974,6
Q13115,6
Q13164,6
Q14498,10
Q14957,10
Q15116,6
Q15283,10
Q15813,10
Q15904,11
Q16352,11
Q16760,10
Q53GA4,10
Q5FWF5,9
Q5T2Q4,10
Q5T5C0,10
Q6IPW1,23
Q6P9H4,8
Q6UWB1,10
Q6X4U4,10
Q7Z2T5,6
Q7Z4L0,10
Q86U02,17
Q86V20,11
Q8IV76,10
Q8IVF1,11
Q8IZ73,10
Q8MH63,10
Q8N4P3,10
Q8N684,10
Q8NAA5,6
Q8NBT3,10
Q8NEL0,14
Q8NF50,10
Q8NGI2,10
Q8NGR9,10
Q8NGT7,10
Q8NHS2,10
Q8TE54,9
Q8TF01,11
Q8WXK4,11
Q92928,10
Q92945,10
Q96B67,10
Q96CG3,10
Q96CS7,10
Q96FF7,10
Q96MH2,9
Q96MH6,10
Q96PQ1,10
Q96QH8,10
Q96R72,10
Q96T88,16
Q99470,10
Q9BYJ0,11
Q9HAF1,11
Q9HAQ2,8
Q9NRQ2,11
Q9NSU2,10
Q9NVE5,8
Q9NYK6,11
Q9UEU5,16
Q9UGU0,11
Q9UKT9,6
Q9ULE4,28
Q9UMX6,10
Q9Y252,11
Q9Y284,16
Q9Y297,9
Q9Y2H8,16
A0A075B6H9,10
A0A096LPG2,1
A0A0G2JQF1,7
A0A8I5QJS6,11
A6NFC5,9
A8MQ14,5
A8MUP6,9
H3BUK9,6
O00469,10
O00622,10
O15050,8
O15379,10
O15547,10
O75093,10
O75787,10
O95298,9
O95436,10
O95644,10
O95992,10
O95995,10
P01011,10
P01178,10
P01733,10
P04554,12
P05091,13
P05160,10
P09681,14
P0C0S5,10
P0C7U3,10
P0CB47,10
P15923,10
P26436,10
P27487,8
P34998,10
P86481,29
Q01973,6
Q02410,10
Q04695,10
Q8TAE8,17
Q8WWU5,11
Q969K4,10
Q96JF6,5
Q96JK2,11
Q96KN4,10
Q96NZ1,10
Q99865,10
Q9BRX8,10
Q9BT17,8
Q9BWG4,9
Q9BYW3,16
Q9H2K0,10
Q9H3S5,10
Q9H8M1,10
Q9HC78,10
Q9HCU9,11
Q9NRS4,10
Q9NS98,10
Q9NWH9,10
Q9NX61,11
Q9NY15,10
Q9UH77,10
Q9UMR3,10
Q9UN81,14
Q9UPR3,10
Q9Y399,10
Q9Y6G9,10
A0A1B0GUW6,10
A6NE02,11
A8MWY0,16
C9JH25,11
O00471,11
O14522,14
O14810,11
O15182,10
O43572,10
O43709,10
O43766,10
O94844,10
P00519,6
P01100,11
P01737,10
P08908,10
P0CE71,10
P14415,10
P15085,10
P20339,10
P22626,9
P23759,8
P26022,10
P30301,10
P30414,16
P42681,6
P50851,14
P51809,10
P52746,5
P54792,8
P56705,10
P57678,6
P62736,10
P85299,11
Q01954,11
Q07912,6
Q12769,11
Q14289,6
Q14839,8
Q15327,6
Q15349,6
Q2L4Q9,10
Q2NL68,11
Q32P41,10
Q3MUY2,20
Q5T871,12
Q5TGZ0,26
Q68D91,10
Q6FI13,10
Q6IEV9,10
Q6NXN4,10
Q6NZ36,10
Q6P3S1,10
Q6URK8,13
Q6UXP3,10
Q7Z5L0,12
Q86TU6,12
Q86VE3,9
Q86YV5,6
Q8IWU6,10
Q8N878,10
Q8NFD5,10
Q8NGL4,10
Q8NGV6,10
Q8NH60,10
Q8TAE7,14
Q8TCU5,10
Q8TE67,10
Q8WTQ7,6
Q92503,6
Q96F81,6
Q96MX6,5
Q96RQ1,10
Q99638,11
Q9BUL8,19
Q9BW04,11
Q9H3A6,23
Q9H4I9,10
Q9H6L4,10
Q9H6N6,11
Q9H7Z6,9
Q9NP99,6
Q9NPF5,10
Q9NPI6,10
Q9NQZ6,11
Q9NSQ0,22
Q9NVF9,8
Q9NZQ3,10
Q9P202,8
Q9P2D0,10
Q9P2D3,11
Q9UBR1,10
Q9UII2,17
Q9ULZ1,21
Q9UMS4,32
Q9Y210,10
Q9Y5H2,10
Q9Y5Z7,10
A0A096LP49,11
A0A0A0MTA4,18
A0A1B0GVZ9,11
A0A286YEV6,12
A0A597,10
A1A4F0,10
A6NFH5,13
A8MT70,10
E5RJ46,20
O00507,9
O14657,10
O14867,11
O15230,8
O43261,23
O43674,11
O60931,10
O60938,6
O75452,10
O95772,11
P01034,10
P01275,19
P01833,10
P02790,10
P05496,10
P08648,10
P10912,10
P12035,11
P17040,11
P19013,11
P25445,10
P28472,10
P30511,10
P42263,10
P50539,10
P54257,26
P54819,10
P55773,10
P55916,10
P56278,12
P61081,10
Q05707,18
Q05940,10
Q0VAQ4,24
Q0WX57,10
Q13114,13
Q14439,10
Q14765,10
Q14865,10
Q15019,9
Q15035,10
Q2VIR3,6
Q53GD3,10
Q5BJH7,11
Q5RL73,10
Q5SQ80,6
Q5T7W0,11
Q5T9L3,10
Q5TEJ8,9
Q6PL45,14
Q6UXR8,21
Q6ZMH5,10
Q70EL2,10
Q7Z3V5,16
Q7Z5N4,10
Q86WH2,10
Q86WR7,11
Q8IVT2,11
Q8N4F4,10
Q8N5M4,6
Q8N6R0,10
Q8NAT1,10
Q8NDT2,13
Q8NE22,10
Q8NF86,10
Q8NGL1,10
Q8TE12,8
Q8WWP7,10
Q92954,10
Q93052,10
Q96A70,10
Q96CM8,6
Q96DC9,22
Q96IV6,10
Q96MK3,9
Q9BY15,9
Q9BYE7,10
Q9BYR5,12
Q9H2B4,10
Q9H2E6,10
Q9H6X4,11
Q9H6Z4,10
Q9HB40,10
Q9HCJ1,11
Q9HCL3,5
Q9NR46,17
Q9NUT2,10
Q9NYZ2,10
Q9UBS3,8
Q9UBS9,10
Q9Y6E7,10
A0A286YF77,12
A0A6Q8PGZ7,23
A1A580,12
A2VDJ0,10
A6NGB9,10
A8MTL3,20
A8MUM7,10
O00321,10
O00453,11
O43291,10
O75128,10
O75444,11
O95487,10
P00325,10
P00395,11
P00966,10
P01614,10
P07204,10
P07384,10
P07476,7
P09341,10
P0C7U9,21
P0CG08,11
P0DJ93,22
P15428,6
P16471,10
P17275,11
P21281,10
P23763,11
P24390,10
P31151,10
P36269,10
P46821,10
P50443,9
P54259,10
Q03923,16
Q07890,10
Q11130,8
Q12918,10
Q13503,11
Q16594,11
Q2QGD7,5
Q3LI59,12
Q53FV1,11
Q5EBM0,10
Q5FWF6,16
Q5JTN6,8
Q5T1R4,8
Q5T3I0,14
Q6JHZ5,14
Q6NVH7,10
Q6P9F0,11
Q6XPR3,9
Q6ZN32,10
Q6ZVC0,13
Q7L2K0,11
Q7Z434,10
Q7Z745,11
Q86Y46,11
Q8IUG5,10
Q8IV56,13
Q8N131,24
Q8NB25,26
Q8NG85,10
Q8NGI3,10
Q8TAG5,6
Q92484,10
Q92995,10
Q96BR5,7
Q96BY2,11
Q96CX6,12
Q96DZ7,16
Q96EX2,10
Q96KF7,10
Q96KR6,11
Q96NR8,10
Q96QE3,10
Q96QU4,10
Q99675,11
Q9BRZ2,16
Q9BT23,10
Q9BTD1,14
Q9BYQ8,12
Q9BZS9,14
Q9H1A4,11
Q9H3R1,10
Q9H8V3,10
Q9HBT6,10
Q9HD40,10
Q9NPU4,26
Q9NRX5,11
Q9P1D8,11
Q9P2X8,14
Q9UBU7,8
Q9UIL1,28
Q9UJX0,10
Q9UNA3,8
Q9UQG0,9
Q9Y2B2,10
Q9Y6W3,14
A0A096LP55,10
A0A1W2PPE2,10
A0A286YF46,12
A6NHS7,10
A8MUK1,10
C4AMC7,11
O00257,10
O43159,10
O43187,6
O95476,16
P01593,10
P01871,10
P02741,10
P02766,10
P07437,10
P0C629,10
P0C881,16
P0DKB6,10
P0DOY3,10
P10070,5
P16591,10
P20749,11
P22459,14
P25940,16
P28360,8
P29992,10
P35713,11
P36021,10
P51003,10
P51460,10
P51684,10
P51858,10
P62310,10
P62834,10
Q01850,26
Q02543,9
Q02833,10
Q12802,10
Q12981,11
Q13535,8
Q15848,10
Q2KHN1,10
Q30KQ8,10
Q330K2,10
Q3B8N2,10
Q400G9,10
Q49AH0,11
Q53S33,10
Q587J7,10
Q5TA81,12
Q5TB30,16
Q5VTE6,10
Q5VWG9,10
Q6DN03,16
Q7Z7K2,5
Q8IVV8,10
Q8IX94,28
Q8N128,11
Q8N2U0,10
Q8N693,8
Q8N9I5,10
Q8NA23,8
Q8NGB9,10
Q8TC05,11
Q8TC57,10
Q8TCV5,20
Q8WYQ9,11
Q92911,11
Q92963,10
Q969I3,9
Q969M2,10
Q96AQ1,11
Q96F63,11
Q96KW2,11
Q96LL4,2
Q96LM9,10
Q96MT7,11
Q96N19,12
Q96NJ3,5
Q96PL1,21
Q96RI0,10
Q99542,6
Q99988,10
Q9BY42,10
Q9BYQ3,12
Q9C0I3,17
Q9H469,8
Q9H6T3,6
Q9HCC6,10
Q9NRU3,11
Q9NTG1,10
Q9NUJ1,10
Q9UEY8,10
Q9UH90,10
Q9UHP6,10
Q9UHV7,10
Q9UL25,10
Q9UNK4,16
Q9WJR5,9
Q9Y574,11
A0A0G2JS06,10
A0A0J9YVS3,14
A1L190,16
A1L429,10
A6NIH7,10
B4DJY2,11
D6RBQ6,10
D6RCP7,10
I3L273,28
O00168,10
O14639,11
O43310,11
O43820,10
O43847,11
O60242,9
O60243,8
O60353,10
O75056,24
O75953,12
O76036,10
O76096,10
O94832,10
O94913,10
O95210,10
P04733,22
P08185,10
P0C0S8,10
P0DN81,10
P23381,16
P25440,11
P26010,10
P26599,10
P29597,6
P30566,11
P45379,11
P50151,11
P52952,8
P59190,10
Q04724,5
Q08AH1,6
Q14103,10
Q15910,10
Q17RN3,14
Q19T08,28
Q2WGJ6,10
Q3SYF9,20
Q3V5L5,10
Q496Y0,10
Q4G0A6,14
Q5H9J7,14
Q5JTJ3,10
Q5JVL4,10
Q5T3U5,9
Q5VU36,11
Q6IPU0,10
Q6NZY7,11
Q6P2C8,10
Q6P6B7,6
Q6PIU2,10
Q6UXB8,10
Q6UXV1,11
Q6ZMQ8,6
Q6ZT98,10
Q6ZWE6,10
Q6ZWJ8,10
Q7RTY5,10
Q7Z4L5,11
Q7Z4T8,10
Q86UZ6,10
Q8IZ40,10
Q8N4C8,6
Q8NE18,6
Q8TCX5,9
Q8TDW0,10
Q8WV74,10
Q8WWW0,11
Q8WXF0,10
Q96LA6,10
Q96LP6,11
Q96NS1,10
Q96NW7,6
Q96QU8,9
Q99502,10
Q9BV40,11
Q9BZR9,16
Q9H0Q3,10
Q9H4L5,10
Q9H8X2,10
Q9H987,11
Q9NV23,10
Q9NX08,13
Q9NYL9,10
Q9ULB4,10
Q9UMQ6,10
Q9UNF1,10
Q9UNQ0,10
Q9Y4F1,10
Q9Y6B2,15
Q9Y6F6,11
Q9Y6U7,10
A0A1B0GVZ2,2
A0A2R8Y4M4,8
A0A3B3IT33,16
A6NIY4,11
O00329,8
O00566,10
O14595,16
O15117,10
O60756,14
O75031,10
P01730,10
P04003,6
P05231,10
P06454,21
P06858,11
P0C6P0,14
P0C7V9,6
P0DP07,10
P0DV74,10
P13861,9
P19875,10
P22304,10
P23919,10
P29033,10
P30793,10
P31276,8
P43490,11
P51681,10
P52564,6
P53007,10
P55103,10
P57682,8
P59797,10
P60484,10
P63172,11
Q00577,10
Q01538,12
Q12980,10
Q13613,11
Q13956,28
Q14674,9
Q15014,16
Q15366,10
Q16625,11
Q3B8N5,11
Q3ZCV2,10
Q4KMG0,10
Q5VWM6,10
Q6ZR08,10
Q6ZUB1,10
Q76FK4,14
Q86TJ5,5
Q86TW2,8
Q86VY9,11
Q86W10,11
Q86XM0,10
Q8IUF8,10
Q8IXI1,7
Q8N302,10
Q8N3C7,10
Q8N6U8,10
Q8N8G6,11
Q8N8Z8,5
Q8NBQ7,10
Q8NEG4,10
Q8NGA6,10
Q8NGH9,10
Q8NGK3,10
Q8WVC0,14
Q8WWN9,10
Q8WXS5,9
Q92504,12
Q93096,7
Q96A72,10
Q96AT9,6
Q96BZ4,10
Q96E52,11
Q96JB5,9
Q96K80,10
Q96NH3,10
Q96SM3,10
Q9BQY9,11
Q9BRP4,32
Q9BRQ3,10
Q9BTM9,9
Q9BV97,6
Q9BWU0,10
Q9BXU9,10
Q9HC10,10
Q9NQP4,12
Q9NRY4,10
Q9NXE4,10
Q9P1T7,11
Q9UI36,11
Q9UJM3,11
Q9ULK0,10
Q9ULQ1,10
Q9UMW8,10
Q9Y2B1,10
Q9Y5P3,19
A0A075B6Y9,14
A0A0A0MTA2,2
A0PJE2,10
A6NFA1,10
A8MUL3,14
A8MUZ8,15
E2RYF7,2
O00233,9
O00591,10
O14545,11
O15528,11
O60879,10
O75078,8
O75113,10
O75347,11
O75969,11
P01036,10
P04198,10
P04432,10
P07305,10
P08574,10
P0C7T7,14
P12104,13
P24278,10
P26371,12
P30419,9
P35452,8
P36551,16
P40855,17
P40937,10
P48739,11
P49247,10
P50053,11
P51784,10
P51959,11
P56715,10
P62244,10
P82909,11
Q02241,10
Q05BV3,5
Q08AI8,12
Q13075,5
Q14410,10
Q14582,10
Q14584,5
Q14602,14
Q15363,10
Q15661,10
Q3LI73,12
Q53HL2,12
Q5I0G3,10
Q5TCM9,12
Q5VT40,14
Q6ISB3,10
Q6PKH6,10
Q6UYE1,19
Q7Z3Y9,10
Q86VN1,10
Q86W54,11
Q86W67,10
Q86W74,6
Q86WG5,10
Q86X10,11
Q8IU57,10
Q8N5Z5,19
Q8N608,6
Q8NEG5,10
Q8NEV1,6
Q8NEZ2,10
Q8NHP1,10
Q8NHS3,10
Q8TAC1,12
Q8TC27,10
Q8TCS8,11
Q8TDB8,10
Q8TDJ6,9
Q8TES7,20
Q8WWL7,11
Q96C00,10
Q96HI0,11
Q96LB2,10
Q96PD5,10
Q96QR8,10
Q9BPY3,16
Q9BXP2,10
Q9GZK4,10
Q9H0R4,7
Q9NR21,10
Q9NSY0,6
Q9NVZ3,10
Q9P0L9,10
Q9P203,14
Q9UBP0,10
Q9UHB9,10
Q9UIB8,10
Q9UJX5,10
Q9UL59,5
Q9UQ90,10
Q9Y5U5,10
Q9Y6A4,10
