family,silhouette,experiment
PF16526,1.0,ha_based
PF02630,1.0,ha_based
PF08596,1.0,ha_based
PF04615,1.0,ha_based
PF21581,1.0,ha_based
PF14051,1.0,ha_based
PF04553,1.0,ha_based
PF10275,1.0,ha_based
PF00278,1.0,ha_based
PF09005,1.0,ha_based
PF01769,1.0,ha_based
PF00405,1.0,ha_based
PF08685,1.0,ha_based
PF01607,1.0,ha_based
PF02887,1.0,ha_based
PF13289,1.0,ha_based
PF00503,1.0,ha_based
PF04799,1.0,ha_based
PF09029,1.0,ha_based
PF13641,1.0,ha_based
PF11002,1.0,ha_based
PF10204,1.0,ha_based
PF16046,1.0,ha_based
PF20256,1.0,ha_based
PF08007,1.0,ha_based
PF10254,1.0,ha_based
PF15251,1.0,ha_based
PF07815,1.0,ha_based
PF01566,1.0,ha_based
PF03171,1.0,ha_based
PF04699,1.0,ha_based
PF16016,1.0,ha_based
PF15069,1.0,ha_based
PF00264,1.0,ha_based
PF05769,1.0,ha_based
PF01244,1.0,ha_based
PF11881,1.0,ha_based
PF00262,1.0,ha_based
PF03364,1.0,ha_based
PF04621,1.0,ha_based
PF04667,1.0,ha_based
PF21126,1.0,ha_based
PF14049,1.0,ha_based
PF02518,1.0,ha_based
PF20406,1.0,ha_based
PF08913,1.0,ha_based
PF10606,1.0,ha_based
PF02099,1.0,ha_based
PF03271,1.0,ha_based
PF03982,1.0,ha_based
PF20492,1.0,ha_based
PF00694,1.0,ha_based
PF13967,1.0,ha_based
PF01406,1.0,ha_based
PF02115,1.0,ha_based
PF05649,1.0,ha_based
PF03179,1.0,ha_based
PF13393,1.0,ha_based
PF07533,1.0,ha_based
PF08442,1.0,ha_based
PF10537,1.0,ha_based
PF08784,1.0,ha_based
PF00659,1.0,ha_based
PF04718,1.0,ha_based
PF08926,1.0,ha_based
PF16614,1.0,ha_based
PF01667,1.0,ha_based
PF18385,1.0,ha_based
PF17226,1.0,ha_based
PF16619,1.0,ha_based
PF11261,1.0,ha_based
PF16741,1.0,ha_based
PF05903,1.0,ha_based
PF03954,1.0,ha_based
PF03859,1.0,ha_based
PF03381,1.0,ha_based
PF12308,1.0,ha_based
PF03881,1.0,ha_based
PF08569,1.0,ha_based
PF00388,1.0,ha_based
PF18382,1.0,ha_based
PF19018,1.0,ha_based
PF16664,1.0,ha_based
PF21477,1.0,ha_based
PF14636,1.0,ha_based
PF07156,1.0,ha_based
PF05602,1.0,ha_based
PF01731,1.0,ha_based
PF16176,1.0,ha_based
PF06638,1.0,ha_based
PF15301,1.0,ha_based
PF21361,1.0,ha_based
PF04692,1.0,ha_based
PF08336,1.0,ha_based
PF13815,1.0,ha_based
PF14917,1.0,ha_based
PF16183,1.0,ha_based
PF03949,1.0,ha_based
PF06954,1.0,ha_based
PF16870,1.0,ha_based
PF07851,1.0,ha_based
PF03992,1.0,ha_based
PF20868,1.0,ha_based
PF01130,1.0,ha_based
PF01633,1.0,ha_based
PF15636,1.0,ha_based
PF18148,1.0,ha_based
PF11980,1.0,ha_based
PF20878,1.0,ha_based
PF00456,1.0,ha_based
PF07002,1.0,ha_based
PF02230,1.0,ha_based
PF07923,1.0,ha_based
PF05719,1.0,ha_based
PF18336,1.0,ha_based
PF04091,1.0,ha_based
PF02494,1.0,ha_based
PF00464,1.0,ha_based
PF12037,1.0,ha_based
PF08504,1.0,ha_based
PF04424,1.0,ha_based
PF04775,1.0,ha_based
PF04118,1.0,ha_based
PF19518,1.0,ha_based
PF14222,1.0,ha_based
PF01437,1.0,ha_based
PF19548,1.0,ha_based
PF06047,1.0,ha_based
PF21801,1.0,ha_based
PF01773,1.0,ha_based
PF03055,1.0,ha_based
PF02815,1.0,ha_based
PF00258,1.0,ha_based
PF05735,1.0,ha_based
PF13793,1.0,ha_based
PF13599,1.0,ha_based
PF03332,1.0,ha_based
PF02513,1.0,ha_based
PF06427,1.0,ha_based
PF00201,1.0,ha_based
PF14748,1.0,ha_based
PF19699,1.0,ha_based
PF00743,1.0,ha_based
PF01608,1.0,ha_based
PF09788,1.0,ha_based
PF01411,1.0,ha_based
PF06466,1.0,ha_based
PF16423,1.0,ha_based
PF11701,1.0,ha_based
PF07830,1.0,ha_based
PF21528,1.0,ha_based
PF21773,1.0,ha_based
PF01365,1.0,ha_based
PF00375,1.0,ha_based
PF21634,1.0,ha_based
PF04930,1.0,ha_based
PF04382,1.0,ha_based
PF00969,1.0,ha_based
PF01213,1.0,ha_based
PF16757,1.0,ha_based
PF08344,1.0,ha_based
PF13281,1.0,ha_based
PF00676,1.0,ha_based
PF08321,1.0,ha_based
PF14796,1.0,ha_based
PF07474,1.0,ha_based
PF14921,1.0,ha_based
PF14857,1.0,ha_based
PF01603,1.0,ha_based
PF12062,1.0,ha_based
PF04560,1.0,ha_based
PF13906,1.0,ha_based
PF09007,1.0,ha_based
PF11933,1.0,ha_based
PF17661,1.0,ha_based
PF12053,1.0,ha_based
PF14050,1.0,ha_based
PF21436,1.0,ha_based
PF13733,1.0,ha_based
PF16920,1.0,ha_based
PF03535,1.0,ha_based
PF06428,1.0,ha_based
PF20627,1.0,ha_based
PF15910,1.0,ha_based
PF02319,1.0,ha_based
PF02244,1.0,ha_based
PF18292,1.0,ha_based
PF04629,1.0,ha_based
PF00837,1.0,ha_based
PF00955,1.0,ha_based
PF18035,1.0,ha_based
PF10600,1.0,ha_based
PF16975,1.0,ha_based
PF12166,1.0,ha_based
PF01749,1.0,ha_based
PF18086,1.0,ha_based
PF15903,1.0,ha_based
PF01144,1.0,ha_based
PF05456,1.0,ha_based
PF10165,1.0,ha_based
PF16034,1.0,ha_based
PF03348,1.0,ha_based
PF01803,1.0,ha_based
PF14967,1.0,ha_based
PF11838,1.0,ha_based
PF14075,1.0,ha_based
PF08075,1.0,ha_based
PF08081,1.0,ha_based
PF00709,1.0,ha_based
PF14484,1.0,ha_based
PF15056,1.0,ha_based
PF21533,1.0,ha_based
PF08412,1.0,ha_based
PF00110,1.0,ha_based
PF09072,1.0,ha_based
PF08947,1.0,ha_based
PF13402,1.0,ha_based
PF01780,1.0,ha_based
PF19057,1.0,ha_based
PF05822,1.0,ha_based
PF06941,1.0,ha_based
PF01384,1.0,ha_based
PF02176,1.0,ha_based
PF09280,1.0,ha_based
PF03360,1.0,ha_based
PF16644,1.0,ha_based
PF03403,1.0,ha_based
PF01794,1.0,ha_based
PF13850,1.0,ha_based
PF04678,1.0,ha_based
PF05832,1.0,ha_based
PF19520,1.0,ha_based
PF08443,1.0,ha_based
PF08623,1.0,ha_based
PF00708,1.0,ha_based
PF02936,1.0,ha_based
PF01554,1.0,ha_based
PF01079,1.0,ha_based
PF12414,1.0,ha_based
PF06990,1.0,ha_based
PF02089,1.0,ha_based
PF16178,1.0,ha_based
PF05191,1.0,ha_based
PF05196,1.0,ha_based
PF16209,1.0,ha_based
PF12265,1.0,ha_based
PF12129,1.0,ha_based
PF18346,1.0,ha_based
PF04061,1.0,ha_based
PF06237,1.0,ha_based
PF08005,1.0,ha_based
PF03853,1.0,ha_based
PF09728,1.0,ha_based
PF03127,1.0,ha_based
PF19426,1.0,ha_based
PF18829,1.0,ha_based
PF18308,1.0,ha_based
PF18100,1.0,ha_based
PF13918,1.0,ha_based
PF05640,1.0,ha_based
PF00939,1.0,ha_based
PF16897,1.0,ha_based
PF21381,1.0,ha_based
PF00751,1.0,ha_based
PF07947,1.0,ha_based
PF05875,1.0,ha_based
PF01234,1.0,ha_based
PF08499,1.0,ha_based
PF17793,1.0,ha_based
PF02296,1.0,ha_based
PF04617,1.0,ha_based
PF02994,1.0,ha_based
PF05406,1.0,ha_based
PF07535,1.0,ha_based
PF04670,1.0,ha_based
PF04908,1.0,ha_based
PF00428,1.0,ha_based
PF21520,1.0,ha_based
PF12678,1.0,ha_based
PF00806,1.0,ha_based
PF00030,1.0,ha_based
PF19088,1.0,ha_based
PF00834,1.0,ha_based
PF07159,1.0,ha_based
PF03188,1.0,ha_based
PF00965,1.0,ha_based
PF00351,1.0,ha_based
PF20210,1.0,ha_based
PF00750,1.0,ha_based
PF07147,1.0,ha_based
PF17675,1.0,ha_based
PF05008,1.0,ha_based
PF06565,1.0,ha_based
PF08833,1.0,ha_based
PF08557,1.0,ha_based
PF00131,1.0,ha_based
PF12304,1.0,ha_based
PF05891,1.0,ha_based
PF13870,1.0,ha_based
PF16172,1.0,ha_based
PF11971,1.0,ha_based
PF01154,1.0,ha_based
PF08235,1.0,ha_based
PF16367,1.0,ha_based
PF03137,1.0,ha_based
PF06583,1.0,ha_based
PF00993,1.0,ha_based
PF15250,1.0,ha_based
PF17035,1.0,ha_based
PF21222,1.0,ha_based
PF14820,1.0,ha_based
PF00909,1.0,ha_based
PF13891,1.0,ha_based
PF17988,1.0,ha_based
PF08608,1.0,ha_based
PF09273,1.0,ha_based
PF15913,1.0,ha_based
PF12316,1.0,ha_based
PF17725,1.0,ha_based
PF01595,1.0,ha_based
PF21206,1.0,ha_based
PF04503,1.0,ha_based
PF02368,1.0,ha_based
PF05334,1.0,ha_based
PF16663,1.0,ha_based
PF12114,1.0,ha_based
PF01630,1.0,ha_based
PF14839,1.0,ha_based
PF04499,1.0,ha_based
PF16208,1.0,ha_based
PF08366,1.0,ha_based
PF08539,1.0,ha_based
PF12881,1.0,ha_based
PF21479,1.0,ha_based
PF13882,1.0,ha_based
PF15705,1.0,ha_based
PF05783,1.0,ha_based
PF03522,1.0,ha_based
PF01392,1.0,ha_based
PF14912,1.0,ha_based
PF13922,1.0,ha_based
PF14707,1.0,ha_based
PF18109,1.0,ha_based
PF13234,1.0,ha_based
PF07773,1.0,ha_based
PF04704,1.0,ha_based
PF05587,1.0,ha_based
PF08014,1.0,ha_based
PF08372,1.0,ha_based
PF06027,1.0,ha_based
PF06888,1.0,ha_based
PF18111,1.0,ha_based
PF10497,1.0,ha_based
PF05392,1.0,ha_based
PF02776,1.0,ha_based
PF11764,1.0,ha_based
PF13911,1.0,ha_based
PF12698,1.0,ha_based
PF06553,1.0,ha_based
PF10225,1.0,ha_based
PF16880,1.0,ha_based
PF21055,1.0,ha_based
PF08916,1.0,ha_based
PF07966,1.0,ha_based
PF17982,1.0,ha_based
PF00688,1.0,ha_based
PF16192,1.0,ha_based
PF00868,1.0,ha_based
PF14513,1.0,ha_based
PF19035,1.0,ha_based
PF21071,1.0,ha_based
PF00735,1.0,ha_based
PF10242,1.0,ha_based
PF04970,1.0,ha_based
PF13656,1.0,ha_based
PF06817,1.0,ha_based
PF15313,1.0,ha_based
PF03643,1.0,ha_based
PF10271,1.0,ha_based
PF05624,1.0,ha_based
PF00852,1.0,ha_based
PF19055,1.0,ha_based
PF05478,1.0,ha_based
PF07651,1.0,ha_based
PF15870,1.0,ha_based
PF08832,1.0,ha_based
PF21033,1.0,ha_based
PF18635,1.0,ha_based
PF18296,1.0,ha_based
PF20626,1.0,ha_based
PF03957,1.0,ha_based
PF00232,1.0,ha_based
PF17809,1.0,ha_based
PF02515,1.0,ha_based
PF05721,1.0,ha_based
PF21246,1.0,ha_based
PF16470,1.0,ha_based
PF15965,1.0,ha_based
PF14938,1.0,ha_based
PF07717,1.0,ha_based
PF19056,1.0,ha_based
PF20144,1.0,ha_based
PF08542,1.0,ha_based
PF00255,1.0,ha_based
PF15898,1.0,ha_based
PF01619,1.0,ha_based
PF06388,1.0,ha_based
PF01369,1.0,ha_based
PF04184,1.0,ha_based
PF12848,1.0,ha_based
PF04515,1.0,ha_based
PF03727,1.0,ha_based
PF12030,1.0,ha_based
PF05761,1.0,ha_based
PF16546,1.0,ha_based
PF04117,1.0,ha_based
PF11629,1.0,ha_based
PF08311,1.0,ha_based
PF00002,1.0,ha_based
PF08699,1.0,ha_based
PF01532,1.0,ha_based
PF04880,1.0,ha_based
PF04802,1.0,ha_based
PF07571,1.0,ha_based
PF10565,1.0,ha_based
PF02690,1.0,ha_based
PF00287,1.0,ha_based
PF10408,1.0,ha_based
PF21354,1.0,ha_based
PF18027,1.0,ha_based
PF09333,1.0,ha_based
PF10240,1.0,ha_based
PF14774,1.0,ha_based
PF13765,1.0,ha_based
PF16019,1.0,ha_based
PF16057,1.0,ha_based
PF17887,1.0,ha_based
PF10557,1.0,ha_based
PF00184,1.0,ha_based
PF18253,1.0,ha_based
PF03414,1.0,ha_based
PF05915,1.0,ha_based
PF01758,1.0,ha_based
PF00022,1.0,ha_based
PF18387,1.0,ha_based
PF02728,1.0,ha_based
PF04979,1.0,ha_based
PF18396,1.0,ha_based
PF14944,1.0,ha_based
PF00488,1.0,ha_based
PF14787,1.0,ha_based
PF16575,1.0,ha_based
PF04253,1.0,ha_based
PF00474,1.0,ha_based
PF09770,1.0,ha_based
PF02874,1.0,ha_based
PF18012,1.0,ha_based
PF02891,1.0,ha_based
PF08313,1.0,ha_based
PF18611,1.0,ha_based
PF00857,1.0,ha_based
PF16211,1.0,ha_based
PF03803,1.0,ha_based
PF01101,1.0,ha_based
PF00108,1.0,ha_based
PF03185,1.0,ha_based
PF12810,1.0,ha_based
PF00056,1.0,ha_based
PF07545,1.0,ha_based
PF10577,1.0,ha_based
PF16609,1.0,ha_based
PF02928,1.0,ha_based
PF02806,1.0,ha_based
PF00007,1.0,ha_based
PF02798,1.0,ha_based
PF00450,1.0,ha_based
PF08683,1.0,ha_based
PF07856,1.0,ha_based
PF16494,1.0,ha_based
PF16484,1.0,ha_based
PF08232,1.0,ha_based
PF02114,1.0,ha_based
PF01403,1.0,ha_based
PF12203,1.0,ha_based
PF05071,1.0,ha_based
PF04968,1.0,ha_based
PF16300,1.0,ha_based
PF12465,1.0,ha_based
PF00243,1.0,ha_based
PF08526,1.0,ha_based
PF15337,1.0,ha_based
PF03265,1.0,ha_based
PF06021,1.0,ha_based
PF15708,1.0,ha_based
PF21494,1.0,ha_based
PF05686,1.0,ha_based
PF20805,1.0,ha_based
PF19030,1.0,ha_based
PF15242,1.0,ha_based
PF06017,1.0,ha_based
PF00143,1.0,ha_based
PF10228,1.0,ha_based
PF02668,1.0,ha_based
PF01145,1.0,ha_based
PF08776,1.0,ha_based
PF11652,1.0,ha_based
PF00916,1.0,ha_based
PF04488,1.0,ha_based
PF03031,1.0,ha_based
PF03736,1.0,ha_based
PF17297,1.0,ha_based
PF16174,1.0,ha_based
PF16568,1.0,ha_based
PF02525,1.0,ha_based
PF10513,1.0,ha_based
PF01712,1.0,ha_based
PF21549,1.0,ha_based
PF12534,1.0,ha_based
PF01425,1.0,ha_based
PF15920,1.0,ha_based
PF08919,1.0,ha_based
PF08781,1.0,ha_based
PF13602,1.0,ha_based
PF07732,1.0,ha_based
PF01146,1.0,ha_based
PF08912,1.0,ha_based
PF00188,1.0,ha_based
PF04144,1.0,ha_based
PF01556,1.0,ha_based
PF00373,1.0,ha_based
PF02485,1.0,ha_based
PF03529,1.0,ha_based
PF08433,1.0,ha_based
PF05978,1.0,ha_based
PF14709,1.0,ha_based
PF16187,1.0,ha_based
PF00876,1.0,ha_based
PF10300,1.0,ha_based
PF00684,1.0,ha_based
PF04845,1.0,ha_based
PF00996,1.0,ha_based
PF11627,1.0,ha_based
PF21260,1.0,ha_based
PF09354,1.0,ha_based
PF21310,1.0,ha_based
PF04923,1.0,ha_based
PF00478,1.0,ha_based
PF01851,1.0,ha_based
PF09128,1.0,ha_based
PF04810,1.0,ha_based
PF09045,1.0,ha_based
PF07292,1.0,ha_based
PF09325,1.0,ha_based
PF16566,1.0,ha_based
PF21679,1.0,ha_based
PF05057,1.0,ha_based
PF12884,1.0,ha_based
PF18124,1.0,ha_based
PF07710,1.0,ha_based
PF00858,0.9995447589671496,ha_based
PF07521,0.9981862592117199,ha_based
PF15494,0.9956211111566855,ha_based
PF00055,0.9955687576325523,ha_based
PF02177,0.9954301677371844,ha_based
PF16885,0.994628340028725,ha_based
PF17215,0.9946256508919176,ha_based
PF05517,0.9933239298428448,ha_based
PF03194,0.9930834856184114,ha_based
PF00104,0.992401987309774,ha_based
PF16884,0.99153602124389,ha_based
PF16482,0.9915031997264838,ha_based
PF14798,0.9909880433626352,ha_based
PF05324,0.9905520977859621,ha_based
PF12234,0.9904715892377431,ha_based
PF01764,0.9897107525666622,ha_based
PF12832,0.9888651592851618,ha_based
PF10585,0.9866890239361195,ha_based
PF21056,0.9861485420921055,ha_based
PF01586,0.9853837831384649,ha_based
PF07803,0.9847959483380644,ha_based
PF12413,0.9840692449064944,ha_based
PF00058,0.9828710124195278,ha_based
PF01883,0.9827341993729525,ha_based
PF01593,0.9822451970336665,ha_based
PF07324,0.9812128167156415,ha_based
PF04988,0.9809181038392094,ha_based
PF13574,0.9805494089912048,ha_based
PF08487,0.9802467263350934,ha_based
PF10367,0.9790310003934273,ha_based
PF13853,0.9780677976986111,ha_based
PF20694,0.9771515536223871,ha_based
PF07859,0.9769148379453931,ha_based
PF11357,0.9750065639587882,ha_based
PF07798,0.9724279034686445,ha_based
PF01182,0.9722277033060485,ha_based
PF00012,0.9722239711809392,ha_based
PF01176,0.9712943399927123,ha_based
PF14753,0.97048911992787,ha_based
PF17207,0.970133624976391,ha_based
PF11878,0.9680581755054777,ha_based
PF14061,0.9678245223942346,ha_based
PF01231,0.9663277787593167,ha_based
PF00062,0.9646750979234201,ha_based
PF21032,0.964351703640274,ha_based
PF05914,0.9635891556474582,ha_based
PF00044,0.9630982135657449,ha_based
PF03946,0.9629269894674208,ha_based
PF02990,0.961633190125175,ha_based
PF06859,0.9579541809621447,ha_based
PF00025,0.9579034499583835,ha_based
PF05653,0.9571095610557805,ha_based
PF18574,0.9558213983332489,ha_based
PF00071,0.9543370567775863,ha_based
PF00063,0.9530562384636438,ha_based
PF15388,0.9526382978690172,ha_based
PF01187,0.950885888721358,ha_based
PF03034,0.9507441655771912,ha_based
PF21290,0.9503504308990383,ha_based
PF02058,0.9498595828029943,ha_based
PF11977,0.9493961671372038,ha_based
PF11835,0.9490401196959265,ha_based
PF04005,0.9480136498933499,ha_based
PF13561,0.9473395945319758,ha_based
PF08976,0.9473243897057289,ha_based
PF00812,0.9468125413754038,ha_based
PF02064,0.9466103236306518,ha_based
PF03953,0.9465657808330086,ha_based
PF03577,0.9456628701498608,ha_based
PF02146,0.9447091037782374,ha_based
PF00733,0.9445049618439908,ha_based
PF10568,0.9440960422389459,ha_based
PF19627,0.9438517447966186,ha_based
PF16076,0.9421755145099532,ha_based
PF10601,0.9410381105770191,ha_based
PF15666,0.9404268530680632,ha_based
PF00335,0.939745008906705,ha_based
PF00398,0.9388233849845107,ha_based
PF13242,0.9385319863014345,ha_based
PF21098,0.9381856843212596,ha_based
PF08174,0.9378178507870164,ha_based
PF01432,0.9369829159208258,ha_based
PF03821,0.935451262992351,ha_based
PF05622,0.9350208837718321,ha_based
PF03104,0.9349534242465656,ha_based
PF03556,0.9342767753955943,ha_based
PF12440,0.9341924926050086,ha_based
PF14672,0.9337768755147389,ha_based
PF15315,0.9325274823972762,ha_based
PF10456,0.9324606465071292,ha_based
PF00273,0.9321761044526164,ha_based
PF01062,0.9274675870487129,ha_based
PF12763,0.9273012534576367,ha_based
PF02218,0.9269868183925127,ha_based
PF06268,0.9248458303253209,ha_based
PF08676,0.9234647495156303,ha_based
PF14886,0.9228209914088765,ha_based
PF18112,0.922114926592396,ha_based
PF01496,0.9212867691084353,ha_based
PF01025,0.9192005890704825,ha_based
PF05361,0.9191638359114862,ha_based
PF08242,0.9180334995153174,ha_based
PF03015,0.9179150059131889,ha_based
PF03298,0.9176918280802263,ha_based
PF04139,0.9174614602518492,ha_based
PF13704,0.9151510228258743,ha_based
PF03764,0.914723058192868,ha_based
PF12403,0.9137898985568518,ha_based
PF01871,0.9134555018178305,ha_based
PF00386,0.9116803095998929,ha_based
PF02826,0.9109533604543931,ha_based
PF06105,0.9108614181660151,ha_based
PF14893,0.9089948598666877,ha_based
PF15914,0.9083846968461176,ha_based
PF04201,0.9076870052033783,ha_based
PF05958,0.9067798779318716,ha_based
PF01044,0.9061427993263012,ha_based
PF02173,0.9054234111802455,ha_based
PF01510,0.9044260865015069,ha_based
PF13757,0.903860435117604,ha_based
PF21672,0.9037013095783601,ha_based
PF04300,0.9024360191764285,ha_based
PF15040,0.9016678416878374,ha_based
PF02223,0.9014348089128403,ha_based
PF10433,0.9004780495718598,ha_based
PF01301,0.8999897794316226,ha_based
PF00128,0.8991316918241941,ha_based
PF10609,0.8987001607576356,ha_based
PF01026,0.898416947273144,ha_based
PF02793,0.8979375715414009,ha_based
PF01039,0.8977105137145784,ha_based
PF16676,0.8975736754430823,ha_based
PF11779,0.8968082329872882,ha_based
PF03638,0.8963183134147461,ha_based
PF00089,0.8948962229467807,ha_based
PF02780,0.8947664834768057,ha_based
PF01652,0.8934468821601391,ha_based
PF15282,0.8911666189498046,ha_based
PF04588,0.8908983167922158,ha_based
PF00654,0.8903666208437643,ha_based
PF14854,0.8894391516776152,ha_based
PF04847,0.8890104549138826,ha_based
PF00370,0.8879561643419973,ha_based
PF07139,0.8879045205294802,ha_based
PF04579,0.8878665704690162,ha_based
PF10177,0.8863101511031017,ha_based
PF00118,0.8861987770141075,ha_based
PF02194,0.8859194856982984,ha_based
PF00151,0.8858946891831857,ha_based
PF16492,0.8854157905926304,ha_based
PF21297,0.8849854929424485,ha_based
PF01126,0.8849268809610238,ha_based
PF15288,0.8841990437817572,ha_based
PF01699,0.8830922322343372,ha_based
PF00683,0.8830395494682567,ha_based
PF01734,0.8823085689728155,ha_based
PF00202,0.8815833626436724,ha_based
PF01153,0.8810322792049892,ha_based
PF07114,0.8793027389710502,ha_based
PF10257,0.8783606696291545,ha_based
PF06881,0.8780446930035994,ha_based
PF04828,0.876919983835168,ha_based
PF17840,0.8744859868358326,ha_based
PF00797,0.8735586047421856,ha_based
PF01105,0.8727232595006746,ha_based
PF00795,0.8724139587780221,ha_based
PF00103,0.8720969665878322,ha_based
PF01124,0.8717255089985729,ha_based
PF10265,0.8711160214160747,ha_based
PF03820,0.8710004558024593,ha_based
PF10495,0.8708413263960795,ha_based
PF09811,0.8708038917612753,ha_based
PF02046,0.8702917794135014,ha_based
PF00648,0.8702894037215574,ha_based
PF20145,0.8701489595291917,ha_based
PF14598,0.869810079942686,ha_based
PF13883,0.8697102210123782,ha_based
PF00432,0.8679145704199709,ha_based
PF00225,0.8675070327491432,ha_based
PF05217,0.8670661352557483,ha_based
PF01329,0.8670530273309982,ha_based
PF06625,0.8664852380465694,ha_based
PF21147,0.865874390786824,ha_based
PF00050,0.8657782966038533,ha_based
PF01457,0.8654492526806012,ha_based
PF14979,0.8643289938305507,ha_based
PF04812,0.8640596147793851,ha_based
PF02225,0.8637636854778634,ha_based
PF03024,0.862530675362563,ha_based
PF13896,0.8623349805176205,ha_based
PF16350,0.8616006831077251,ha_based
PF04133,0.8615168909255473,ha_based
PF01049,0.8598962772355603,ha_based
PF20412,0.8594397594442934,ha_based
PF08777,0.859397586413444,ha_based
PF09815,0.8576445116617712,ha_based
PF15177,0.8571326882229862,ha_based
PF00664,0.8569076507274702,ha_based
PF18212,0.8567731125490291,ha_based
PF04627,0.8564027055164793,ha_based
PF16704,0.8558545898421666,ha_based
PF05030,0.8542750794013871,ha_based
PF02953,0.8540527041431116,ha_based
PF10274,0.854007671975114,ha_based
PF06473,0.8533014187729522,ha_based
PF02187,0.8527919199954646,ha_based
PF11461,0.8511801957531602,ha_based
PF21319,0.8510713429107173,ha_based
PF05577,0.8506358176531923,ha_based
PF15901,0.8505280280326402,ha_based
PF07995,0.8502597967413653,ha_based
PF13899,0.8488790519635876,ha_based
PF21021,0.8481800536084817,ha_based
PF04952,0.84817280612079,ha_based
PF12371,0.8478130649414903,ha_based
PF15235,0.8476634751628933,ha_based
PF04731,0.8474768161725106,ha_based
PF08778,0.847313365461762,ha_based
PF14603,0.8469085175034217,ha_based
PF20691,0.8456934824797768,ha_based
PF08143,0.8456205455340913,ha_based
PF03402,0.8441413561041939,ha_based
PF14161,0.8440685621784452,ha_based
PF15265,0.8434912310281149,ha_based
PF15409,0.8427994652896142,ha_based
PF10269,0.842399358846923,ha_based
PF03489,0.8415971560093176,ha_based
PF08662,0.841368846228641,ha_based
PF03250,0.8410211429260218,ha_based
